,sensor_logdiag,sup_logdiag,sensor_riemannwass,unsup_riemanngeo
0,8.628331861771805,6.480711521061303,8.053060152592758,6.095384483818132
1,10.47562661103509,8.418697411753895,10.846958406310934,9.78188235713554
2,10.478615574580841,9.27525605956859,9.385021403546917,7.98469420616994
3,8.366873150410484,9.951969105953582,7.385697051304079,8.81399147936976
4,10.687470332203743,10.589589259381311,9.484545749248943,8.384925926387522
5,10.355401861048392,8.150488379321725,7.401599983958459,7.404150514926652
6,8.075103850049262,8.679437723452455,8.572061117513096,6.837628299793904
7,9.718496790839655,8.173123123551274,8.152278027008723,8.162481531363271
8,10.006738328363427,7.875642288138845,8.787255236466025,7.35222737932493
9,10.60814773768315,9.326571805357013,9.726614521667473,9.274187515365668
10,8.933021233501904,7.934059184083804,9.379160745660732,7.436086872736357
11,5.9376485890102035,8.021915722692462,5.128297734210583,6.056528754033995
12,13.062160969382397,11.048895458396332,11.820918977189848,11.24117864459128
13,11.275657410647487,11.448223254289267,10.165217358211468,9.492649723843043
14,10.081125712796542,9.906123607299683,9.146583419544163,9.751088333086113
15,10.044344359782993,7.828215074833194,10.490130158271056,10.108935020625648
16,7.342125911970684,7.406845463411388,5.606710176762973,7.497968024226972
17,11.369907105872747,10.439260999915698,13.289841861790102,11.929467704476902
18,6.633928493737766,5.939001078598168,4.956388187938903,4.8843660375332405
19,11.583208520924302,9.908869303021426,7.3487109323118185,7.904649070801195
20,6.260423868073995,5.944199409224694,9.221587050454465,7.690288197963587
21,9.102293340611324,10.662746544425003,9.42371116403657,9.773666430878675
22,9.682947175200658,7.925236464004933,8.112222698140231,7.102228194114733
23,7.9525162448499636,6.131362447919047,7.056769634073223,7.867064161556343
24,11.673389533385553,9.657177995383812,9.807734134299153,9.828965507484726
25,11.492483411969799,12.587396095427795,10.240806924729169,11.19074462017727
26,6.575192337516556,8.050639131746017,6.582879731991842,5.6995349216713
27,7.525882961974615,8.248184414334437,7.280322642478014,7.973713136328713
28,9.170656764117048,8.358055358215442,7.108690631341262,6.654616971112026
29,7.5149550658488575,8.744544445157674,6.668310785819596,6.88397876568571
30,9.543093117285341,7.6521756312353615,7.926638223110806,7.150984501844037
31,9.43828272177796,8.47735499573395,7.439866280848163,7.497118121902345
32,7.101097035965836,8.560607261350976,7.642910595566834,7.949113208832393
33,8.162773198866445,6.70065498446771,5.512435056233612,5.429798480489952
34,11.183606398706154,12.677309949985743,11.613950778773484,12.035117883470864
35,11.268635810089567,10.701219073540791,10.68885304502344,9.627948029687495
36,8.721002704863025,7.2402308801770925,4.826265145387864,5.463758457432285
37,10.761802318358521,7.606177873394909,10.106821907384061,9.494025963815822
38,9.613758559522484,10.67179771063435,9.642669961500284,8.981239738447293
39,11.728621966477387,10.99621109503315,8.241383385894476,8.634175378300219
40,9.428316036497131,10.177260713780791,8.225640038970912,7.146048620389672
41,8.169934299393306,6.366612842793226,6.534695431786626,6.462289595286801
42,9.399000297306634,9.206749630485506,9.530274846890201,9.200864630410102
43,8.951325419251019,7.718202679913708,9.52277789968489,8.967468471999826
44,10.293841099555705,9.027684176895479,9.034907318461263,8.159787697517848
45,11.199609701629996,7.721383190548373,9.165354781069324,8.781708986503618
46,7.650139853140143,7.220400674577186,7.0991054706190235,6.8026332764506
47,12.476368177494061,9.540072601675428,9.26211511247388,9.8874401891588
48,5.490368964613107,7.4095708276223755,5.186735151082897,5.5472666754839866
49,6.639859038165077,6.62460008406368,7.51355320302051,7.896995735716383
